time,lat,lon,depth,RMS,Nphs,Gap,Dist,errH,errZ,Mamp,Mdur,expect_lat,expect_lon,expect_z,EllipsoidAz1,EllipsoidDip1,EllipsoidLen1,EllipsoidAz2,EllipsoidDip2,EllipsoidLen2,EllipsoidLen3,minHorUnc,maxHorUnc,azMaxHorUnc,pdfVolume,mech_strike,mech_dip,mech_rake,mech_misfit,mech_Nobs,publicId,x,y,disloc,along_stk_disloc
1990-01-18 04:17:24.363066,40.3128,-124.3657,6.6945,0.0223832,7,237.0,18.2805,5.57063,3.074083,1.77,-9.9,40.3101,-124.3791,6.4965,352.635,3.98974,1.74503,191.761,85.778,3.81316,6.902642,1.42139,5.57063,82.707,19.90653,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/150985,75.16687286471709,-9.307085577364237,37,88.70900509464828
1990-01-18 08:00:03.800074,40.2839,-124.275,8.184,0.122662,10,204.0,13.7121,0.802843,1.0191814,3.0,-9.9,40.2836,-124.2739,7.9394,336.969,8.26133,0.516505,251.47,-28.391,0.840909,1.377267,0.432651,0.802843,61.0477,0.8380482,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/150870,82.91156012200206,-12.435019357912589,39,96.73822425608154
1990-01-18 08:05:46.119402,40.2851,-124.2725,8.5523,0.0387587,6,202.0,13.6912,14.0909,6.013904,1.39,-9.9,40.2916,-124.2853,9.0995,349.624,-41.349,4.99947,358.147,48.3352,8.77018,17.49572,5.57876,14.0909,82.9415,5.640911,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/150871,83.12267418186023,-12.29942967721905,39,96.93400883007273
1990-01-18 08:25:15.857187,40.3177,-124.3602,7.0148,0.0199299,7,233.0,17.6776,1.93697,2.082087,1.77,-9.9,40.3158,-124.3637,6.9668,340.298,-8.09729,0.961204,244.119,-37.1064,2.06423,2.872449,0.816925,1.93697,73.5913,6.932946,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/150872,75.62889549767695,-8.758312561515536,37,89.11113431925314
1990-01-18 08:29:14.332396,40.2839,-124.275,8.184,0.100185,11,204.0,13.7121,0.863102,1.0375224,2.29,-9.9,40.2842,-124.2734,7.8155,342.737,6.73854,0.555235,256.754,-30.6633,0.917853,1.402715,0.458681,0.863102,68.6605,0.8556884,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/150873,82.91156012200206,-12.435019357912589,39,96.73822425608154
1990-01-18 08:32:41.889703,40.2839,-124.275,8.184,0.0847223,9,204.0,13.7121,0.80513,1.0168351,3.0,-9.9,40.2838,-124.2739,7.8993,340.176,7.50365,0.536815,253.653,-24.7188,0.906047,1.334185,0.4475,0.80513,66.1718,0.8419526,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/150874,82.91156012200206,-12.435019357912589,39,96.73822425608154
1990-01-20 18:44:57.865182,40.3062,-124.3897,7.6715,0.118661,6,247.0,19.3641,1.57692,1.2523257,1.62,-9.9,40.3107,-124.3826,6.9467,344.733,25.303,0.531111,280.443,-42.5398,0.849758,2.371265,0.512766,1.57692,55.9599,0.8874531,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/150976,73.13402395933562,-10.060052996263328,37,86.76599887545912
1990-01-21 09:47:08.556119,40.3145,-124.3808,6.5984,0.0104825,5,242.0,18.2981,24.2296,10.492256,1.91,-9.9,40.3081,-124.4526,8.8058,356.137,8.70045,8.78631,300.193,-74.7162,11.5182,30.63735,7.15294,24.2296,84.3256,38.47624,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151021,73.88153722569383,-9.13104356582167,37,87.41230925780539
1990-01-21 15:46:38.280832,40.324,-124.2825,11.7555,0.0365022,10,195.0,17.2272,1.8646,2.1485164,2.2,-9.9,40.3241,-124.284,11.7931,13.2376,-27.8279,1.28537,272.526,-19.3979,2.08249,3.049307,1.36662,1.8646,123.617,5.210874,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151153,82.22513654923736,-7.989440598080878,59,95.5908714673696
1990-01-22 03:15:33.253883,40.3065,-124.5154,11.5793,0.0435381,6,280.0,24.1177,0.989847,1.1071892,1.86,-9.9,40.3067,-124.5166,11.4914,169.599,10.466,0.809387,266.436,32.7984,1.07781,1.501686,0.668859,0.989847,73.1423,2.546043,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151064,62.44826854127947,-10.123073681852928,55,76.14536859907088
1990-01-22 11:04:14.123904,40.3136,-124.36,6.6465,0.100658,11,221.0,18.1258,1.18503,1.3925785,2.72,-9.9,40.3121,-124.3633,6.5222,331.312,-13.5793,0.617447,235.859,-21.4735,1.39766,1.822593,0.584814,1.18503,65.2633,2.347169,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151074,75.65047215725521,-9.213396063272379,37,89.18016195872973
1990-01-22 15:16:13.725960,40.3142,-124.3584,6.5023,0.0736681,7,259.0,18.0533,1.32184,1.7662729,1.73,-9.9,40.3125,-124.3619,6.4527,324.886,-16.5959,0.759648,230.563,-14.1947,1.57132,2.313187,0.777237,1.32184,61.596,4.315892,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151086,75.7857972446686,-9.14540383040073,37,89.30763859753876
1990-01-22 16:02:33.723000,40.2706,-124.2712,9.9297,0.0029345,4,207.0,12.364,55.4699,15.068713,1.62,-9.9,40.3277,-124.4305,18.8649,324.691,82.4017,18.3449,331.552,-7.54455,31.1121,68.7274,24.9718,55.4699,61.4134,84.11788,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151087,83.25101365546057,-13.908234336845743,39,97.22981112537693
1990-01-23 11:10:58.274743,40.3099,-124.3712,7.9117,0.0771256,21,216.0,18.6583,1.90258,2.9153883,3.5,-9.9,40.309,-124.3719,7.6242,178.481,14.8004,1.32481,272.301,14.1511,2.19538,3.80115,1.25649,1.90258,77.1838,16.84276,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151119,74.70257701306171,-9.633754154704748,37,88.28139886863559
1990-01-23 11:14:21.115557,40.2997,-124.4292,10.3781,0.0172973,4,261.0,21.0689,42.5146,16.381748,1.77,-9.9,40.2865,-124.7416,16.4183,167.627,21.5734,15.4105,187.684,-67.173,19.9096,53.02257,12.9976,42.5146,80.2987,415.7248,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1171413,69.78292374789672,-10.813706902832662,56,83.51203462629923
1990-01-23 12:10:45.287162,40.3071,-124.3639,7.0148,0.0346645,5,266.0,20.8572,1.98854,1.9613602,2.35,-9.9,40.3101,-124.365,6.8838,356.303,6.59994,0.987663,273.339,-46.6346,2.30948,2.589263,0.823269,1.98854,85.4077,4.876732,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151120,75.32620691052357,-9.938468765724148,37,88.93346380629272
1990-01-23 13:08:26.474775,40.306,-124.3863,7.4953,0.0264137,6,246.0,19.319,16.6916,9.424583,2.08,-9.9,40.3218,-124.4248,8.9528,161.932,61.0199,7.00888,283.145,16.0144,16.5754,22.14861,12.7756,16.6916,28.7652,38.04976,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151124,73.42326518238943,-10.07944397021003,37,87.05568251353712
1990-01-23 13:08:38.904900,40.3089,-124.3735,6.9828,0.0976256,6,240.0,18.8054,14.4688,6.317259,1.83,-9.9,40.3066,-124.3931,8.9244,166.837,46.1573,5.19049,182.471,-42.7645,9.44259,18.06395,6.24511,14.4688,84.1868,47.14097,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151275,74.50817102770817,-9.74673167342671,37,88.09986722602663
1990-01-23 13:36:06.610327,40.3129,-124.3682,6.7746,0.0247801,7,238.0,18.2901,1.23655,1.8284827,1.82,-9.9,40.3127,-124.3682,6.901,340.818,-10.5963,0.68021,245.977,-24.2825,1.21478,2.47083,0.606881,1.23655,81.4653,3.724819,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151276,74.95426539975394,-9.298103273685852,37,88.49662340922357
1990-01-24 13:54:26.466337,40.3142,-124.3684,6.9508,0.0992949,14,215.0,18.1565,3.07246,2.7830908,2.87,-9.9,40.3119,-124.3691,6.716,177.511,10.6365,1.53431,284.663,57.5089,3.31212,3.966052,1.32086,3.07246,85.6327,18.41846,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151250,74.93582780775519,-9.15392371287753,37,88.46321595235705
1990-01-24 15:56:12.041781,40.3117,-124.3607,6.0859,0.00397263,4,235.0,18.3473,45.2119,17.103714,1.43,-9.9,40.2912,-124.6552,16.024,165.892,20.883,16.3591,187.238,-67.7249,20.5627,56.42226,13.6903,45.2119,78.6002,134.8943,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1171449,75.59309361769256,-9.424966020659198,37,89.14521282732966
1990-01-28 15:54:11.371018,40.3112,-124.5459,19.5311,0.26317,6,290.0,25.4398,0.546868,0.34354058,1.84,-9.9,40.3112,-124.5454,19.4898,131.755,-61.1373,0.375094,353.967,-22.2072,0.45136,0.6995453,0.355211,0.546868,75.0961,0.2860269,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151400,59.85137114720522,-9.622276747013695,74,73.51034974663132
1990-01-29 07:23:36.366298,40.3142,-124.3584,6.5023,0.0533452,7,233.0,18.0533,1.32168,1.929564,2.19,-9.9,40.3126,-124.3611,6.3729,324.799,-12.9237,0.801049,231.935,-12.285,1.57767,2.481169,0.762165,1.32168,60.4298,4.479438,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/151448,75.7857972446686,-9.14540383040073,37,89.30763859753876
1990-02-28 11:10:15.678483,40.3665,-124.4343,14.7664,0.149392,17,242.0,14.6511,1.81709,1.3012241,2.6,-9.9,40.3655,-124.4322,14.6858,176.605,0.128628,1.32007,266.991,71.5543,1.51316,2.318746,1.06555,1.81709,86.5696,7.971409,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/153539,69.28096348510735,-3.4003453156338455,56,82.23791685999305
1990-03-05 23:06:10.989487,40.3105,-124.5459,19.7873,0.0599821,17,231.0,25.4965,0.42753,0.24317892,2.75,-9.9,40.31,-124.5458,19.7215,37.3628,-66.0772,0.272404,353.94,17.8588,0.290182,0.5441256,0.232817,0.42753,89.2586,0.1046443,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/153730,59.85198947545965,-9.700003855124729,74,73.51908938278395
1990-03-19 00:43:09.070970,40.31,-124.5565,19.8434,0.0540259,24,230.0,26.1648,0.755323,0.47456008,3.0,-9.9,40.3099,-124.5559,19.8247,183.282,27.0958,0.516451,326.753,57.5147,0.55,0.962707,0.423117,0.755323,84.9516,0.624068,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/154430,58.95139054408035,-9.762641540560683,74,72.62997144758323
1990-03-21 11:38:16.081351,40.3488,-124.4041,16.7523,0.12064,28,220.0,15.1946,3.61888,2.186494,3.9,-9.9,40.3475,-124.407,16.9499,175.403,5.41281,1.40283,288.479,76.4094,2.5943,4.555313,1.14491,3.61888,84.5189,23.73718,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/10090968,71.86470037019781,-5.341631146159714,77,85.01041938871427
1990-03-24 07:27:44.328518,40.3286,-124.5308,13.2609,0.0681004,9,260.0,23.1526,8.32706,6.3061447,2.62,-9.9,40.3263,-124.5851,9.8075,190.126,17.2242,2.42437,301.745,49.9211,4.48596,12.21114,2.23362,8.32706,89.2421,147.278,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/154722,61.119203285375455,-7.679874694119972,54,74.56820026605628
1990-03-24 07:44:08.606497,40.3154,-124.6327,6.5664,0.224305,41,236.0,30.7299,2.74942,3.5228672,3.7,-9.9,40.3179,-124.6247,7.8402,168.888,0.846023,1.36343,259.434,32.8294,2.50687,4.936327,1.10121,2.74942,78.1724,15.22802,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/154723,52.46989260109425,-9.211023154703174,33,66.12632000631525
1990-03-27 19:21:31.764364,40.3084,-124.5458,8.3602,0.163925,43,228.0,34.2381,1.33835,2.1938977,3.2,-9.9,40.3085,-124.545,8.5395,173.178,1.81335,1.22356,263.683,15.5489,1.53532,2.789873,0.989075,1.33835,81.1392,8.64683,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/10091017,59.86234500381157,-9.933117454102856,34,73.55375518873603
1990-03-27 19:24:40.905968,40.3251,-124.4073,0.1281,0.0660324,4,251.0,17.7599,31.7917,12.614031,1.76,-9.9,40.3435,-124.5566,7.8953,27.0422,-75.0457,14.2122,184.639,-13.8709,26.8454,39.53737,21.2099,31.7917,96.7671,334.1434,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/154907,71.61791271954951,-7.975837015099082,17,85.04033315804891
1990-04-10 14:05:46.983320,40.3538,-124.3886,17.3289,0.079833,21,229.0,14.2295,2.12962,1.3596694,3.4,-9.9,40.3539,-124.387,17.4411,180.119,24.3808,1.36418,325.938,61.284,1.64543,2.691251,1.1453,2.12962,84.447,10.26853,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/155738,73.17607843469833,-4.77372679907018,77,86.25525141828142
1990-04-21 06:22:06.823808,40.3159,-124.3698,5.7016,0.133005,9,233.0,17.979,15.3497,5.9101496,2.68,-9.9,40.3268,-124.3702,6.2952,24.4235,-35.7511,4.74245,228.576,-51.7266,6.98045,19.3863,4.55347,15.3497,122.678,41.06809,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1175568,74.81495466843937,-8.966344662135413,37,88.3233976188303
1990-04-23 20:03:48.195421,40.3102,-124.5234,18.8984,0.0664187,10,251.0,24.2329,9.60445,5.7390094,2.32,-9.9,40.3122,-124.5615,19.4058,3.96128,-13.1747,2.85993,185.039,-76.8231,7.27118,11.89866,2.6157,9.60445,93.9992,135.0264,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1175630,61.764832122839245,-9.717847983508088,75,75.42331849731544
1990-05-28 09:03:47.127628,40.3137,-124.5646,19.3469,0.0212278,5,262.0,26.3673,18.8211,12.7504015,2.21,-9.9,40.3152,-124.6775,17.4314,188.047,13.6805,5.20703,310.408,65.5455,14.7471,24.23343,5.01886,18.8211,94.7895,662.4181,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1177114,58.25967740784043,-9.357164514151036,74,71.89966369781784
