,lat,lon,depth,slip,rake,strike,dip,t_rup,t_ris,t_fal,mo
0,40.390862,-125.290504,1.45,4.052679,198.290833,96.0,90.0,9.506861,3.0,1.5,7.64863e+22
1,40.387383,-125.247093,1.45,21.643282,172.220901,96.0,90.0,8.544818,1.5,3.0,4.08474e+23
2,40.383907,-125.203674,1.45,59.927612,171.908981,96.0,90.0,7.63133,1.5,1.5,1.13102e+24
3,40.380432,-125.160255,1.45,69.052025,170.547394,96.0,90.0,7.000661,1.5,1.5,1.30322e+24
4,40.376953,-125.116837,1.45,101.74334,170.037125,96.0,90.0,6.120958,1.5,1.5,1.9202e+24
5,40.373478,-125.073418,1.45,118.843658,170.09523,96.0,90.0,5.525865,3.0,3.0,2.24294e+24
6,40.369999,-125.029999,1.45,127.901787,170.32254,96.0,90.0,5.02,3.0,4.5,2.41389e+24
7,40.366524,-124.98658,1.45,124.048264,170.936295,96.0,90.0,4.725864,4.5,3.0,2.34117e+24
8,40.363045,-124.943161,1.45,117.593414,172.591248,96.0,90.0,5.320959,4.5,4.5,2.21934e+24
9,40.35957,-124.89975,1.45,111.049217,173.671677,96.0,90.0,7.000661,4.5,4.5,2.09584e+24
10,40.356094,-124.856331,1.45,106.797699,172.929352,96.0,90.0,9.23133,4.5,4.5,2.0156e+24
11,40.352615,-124.812912,1.45,97.294601,188.387039,96.0,90.0,11.144818,4.5,3.0,1.83624e+24
12,40.34914,-124.769493,1.45,105.181015,202.631516,96.0,90.0,11.90686,4.5,3.0,1.98508e+24
13,40.345661,-124.726074,1.45,101.847603,205.217789,96.0,90.0,12.699269,4.5,4.5,1.92217e+24
14,40.342186,-124.682655,1.45,76.99173,209.781509,96.0,90.0,13.711744,4.5,3.0,1.45307e+24
15,40.338711,-124.639236,1.45,51.332584,197.665665,96.0,90.0,15.3381,4.5,1.5,9.68801e+23
16,40.335232,-124.595818,1.45,20.870073,203.366852,96.0,90.0,17.374422,3.0,1.5,3.93881e+23
17,40.331757,-124.552406,1.45,4.694239,171.961563,96.0,90.0,19.418123,1.5,4.5,8.85945e+22
18,40.328278,-124.508987,1.45,0.454091,199.009903,96.0,90.0,21.06744,1.5,3.0,8.57007e+21
19,40.324802,-124.465569,1.45,0.603951,188.404892,96.0,90.0,22.121119,1.5,1.5,1.13984e+22
20,40.321327,-124.42215,1.45,0.033092,186.042358,96.0,90.0,22.578253,4.5,1.5,6.2455e+20
21,40.317848,-124.378731,1.45,0.159256,178.241745,96.0,90.0,23.038168,1.5,1.5,3.00563e+21
22,40.314373,-124.335312,1.45,0.071378,197.908249,96.0,90.0,23.900356,3.0,3.0,1.34713e+21
23,40.310894,-124.291893,1.45,2.355973,183.467163,96.0,90.0,25.364424,1.5,3.0,4.44643e+22
24,40.390862,-125.290504,4.3,10.873302,207.964432,96.0,90.0,9.158733,4.5,4.5,2.05212e+23
25,40.387383,-125.247093,4.3,64.292252,170.072342,96.0,90.0,8.135635,1.5,1.5,1.21339e+24
26,40.383907,-125.203674,4.3,103.692993,169.863434,96.0,90.0,7.337907,1.5,1.5,1.957e+24
27,40.380432,-125.160255,4.3,136.908752,170.409912,96.0,90.0,6.386923,1.5,4.5,2.58388e+24
28,40.376953,-125.116837,4.3,178.490967,171.156891,96.0,90.0,5.133774,1.5,1.5,3.36866e+24
29,40.373478,-125.073418,4.3,209.128799,170.305695,96.0,90.0,4.317364,3.0,1.5,3.94689e+24
30,40.369999,-125.029999,4.3,228.565186,170.757462,96.0,90.0,3.48,4.5,3.0,4.31372e+24
31,40.366524,-124.98658,4.3,236.156174,170.480148,96.0,90.0,3.117364,1.5,1.5,4.45698e+24
32,40.363045,-124.943161,4.3,223.499039,170.140152,96.0,90.0,3.733774,1.5,1.5,4.2181e+24
33,40.35957,-124.89975,4.3,218.127731,169.900696,96.0,90.0,5.386923,1.5,1.5,4.11673e+24
34,40.356094,-124.856331,4.3,194.242249,169.896149,96.0,90.0,7.737907,1.5,1.5,3.66594e+24
35,40.352615,-124.812912,4.3,158.636642,182.393478,96.0,90.0,9.735636,4.5,4.5,2.99395e+24
36,40.34914,-124.769493,4.3,164.258789,205.962219,96.0,90.0,11.358733,1.5,1.5,3.10006e+24
37,40.345661,-124.726074,4.3,166.040009,209.605988,96.0,90.0,11.996984,1.5,1.5,3.13368e+24
38,40.342186,-124.682655,4.3,127.426689,208.26506,96.0,90.0,13.24496,1.5,1.5,2.40493e+24
39,40.338711,-124.639236,4.3,74.731224,202.029099,96.0,90.0,15.299533,3.0,3.0,1.4104e+24
40,40.335232,-124.595818,4.3,22.275219,179.141724,96.0,90.0,17.758778,1.5,4.5,4.20401e+23
41,40.331757,-124.552406,4.3,3.719932,201.851532,96.0,90.0,19.821451,1.5,1.5,7.02064e+22
42,40.328278,-124.508987,4.3,2.606385,189.621567,96.0,90.0,21.48671,3.0,4.5,4.91904e+22
43,40.324802,-124.465569,4.3,0.601455,183.337158,96.0,90.0,22.553968,1.5,1.5,1.13513e+22
44,40.321327,-124.42215,4.3,0.646859,173.572189,96.0,90.0,23.022802,1.5,4.5,1.22082e+22
45,40.317848,-124.378731,4.3,0.003437,187.83461,96.0,90.0,23.492901,3.0,4.5,6.48642e+19
46,40.314373,-124.335312,4.3,0.792128,193.221115,96.0,90.0,24.164028,1.5,1.5,1.49498e+22
47,40.310894,-124.291893,4.3,22.751139,208.721634,96.0,90.0,25.636005,3.0,1.5,4.29383e+23
48,40.390862,-125.290504,7.15,22.148619,171.359619,96.0,90.0,9.143354,1.5,1.5,4.84892e+23
49,40.387383,-125.247093,7.15,82.925636,170.015823,96.0,90.0,8.07939,1.5,1.5,1.81546e+24
50,40.383907,-125.203674,7.15,122.900589,170.086899,96.0,90.0,7.02248,3.0,1.5,2.69062e+24
51,40.380432,-125.160255,7.15,166.448868,169.869263,96.0,90.0,5.979367,3.0,1.5,3.644e+24
52,40.376953,-125.116837,7.15,208.52388,170.543915,96.0,90.0,4.568954,1.5,1.5,4.56514e+24
53,40.373478,-125.073418,7.15,229.785645,169.836029,96.0,90.0,3.066887,4.5,1.5,5.03061e+24
54,40.369999,-125.029999,7.15,252.07106,169.98317,96.0,90.0,1.74,4.5,4.5,5.5185e+24
55,40.366524,-124.98658,7.15,263.602295,169.868698,96.0,90.0,2.066887,4.5,4.5,5.77095e+24
56,40.363045,-124.943161,7.15,269.272858,170.419205,96.0,90.0,3.168953,3.0,1.5,5.89509e+24
57,40.35957,-124.89975,7.15,278.661224,169.898041,96.0,90.0,4.579367,1.5,1.5,6.10063e+24
58,40.356094,-124.856331,7.15,249.61087,169.835175,96.0,90.0,6.62248,1.5,4.5,5.46464e+24
59,40.352615,-124.812912,7.15,192.101105,175.403809,96.0,90.0,8.879389,1.5,1.5,4.2056e+24
60,40.34914,-124.769493,7.15,180.64325,199.345993,96.0,90.0,10.943355,4.5,4.5,3.95476e+24
61,40.345661,-124.726074,7.15,167.831924,209.589645,96.0,90.0,12.011401,1.5,1.5,3.67428e+24
62,40.342186,-124.682655,7.15,123.911926,208.527557,96.0,90.0,13.682014,1.5,1.5,2.71276e+24
63,40.338711,-124.639236,7.15,62.718651,202.784897,96.0,90.0,16.154346,1.5,1.5,1.37308e+24
64,40.335232,-124.595818,7.15,10.668427,170.649185,96.0,90.0,18.827888,1.5,3.0,2.3356e+23
65,40.331757,-124.552406,7.15,0.291841,184.585724,96.0,90.0,20.902309,4.5,3.0,6.38917e+21
66,40.328278,-124.508987,7.15,1.193754,201.943817,96.0,90.0,22.37739,4.5,3.0,2.61344e+22
67,40.324802,-124.465569,7.15,3.031438,174.526016,96.0,90.0,23.252981,4.5,4.5,6.63662e+22
68,40.321327,-124.42215,7.15,0.959132,198.517029,96.0,90.0,23.528971,1.5,1.5,2.09979e+22
69,40.317848,-124.378731,7.15,0.3572,201.239197,96.0,90.0,24.005281,1.5,3.0,7.82005e+21
70,40.314373,-124.335312,7.15,0.707631,180.198654,96.0,90.0,24.681854,1.5,3.0,1.54919e+22
71,40.310894,-124.291893,7.15,18.974527,208.978149,96.0,90.0,26.158642,1.5,3.0,4.15402e+23
72,40.390862,-125.290504,10.0,16.635466,173.73555,96.0,90.0,9.470401,1.5,1.5,4.06012e+23
73,40.387383,-125.247093,10.0,60.725285,171.606262,96.0,90.0,8.192,1.5,1.5,1.48209e+24
74,40.383907,-125.203674,10.0,94.241226,170.580475,96.0,90.0,6.9136,1.5,4.5,2.30009e+24
75,40.380432,-125.160255,10.0,134.190964,170.39209,96.0,90.0,5.8352,3.0,1.5,3.27512e+24
76,40.376953,-125.116837,10.0,162.963654,169.963638,96.0,90.0,4.1568,3.0,1.5,3.97736e+24
77,40.373478,-125.073418,10.0,176.499542,171.397644,96.0,90.0,2.2784,4.5,3.0,4.30772e+24
78,40.369999,-125.029999,10.0,205.66774,177.503174,96.0,90.0,0.0,1.5,1.5,5.01962e+24
79,40.366524,-124.98658,10.0,225.628098,175.199753,96.0,90.0,1.4784,1.5,1.5,5.50678e+24
80,40.363045,-124.943161,10.0,252.773026,169.957321,96.0,90.0,2.9568,4.5,3.0,6.16929e+24
81,40.35957,-124.89975,10.0,260.813843,169.995438,96.0,90.0,4.4352,3.0,1.5,6.36553e+24
82,40.356094,-124.856331,10.0,253.860809,169.881287,96.0,90.0,6.1136,1.5,4.5,6.19584e+24
83,40.352615,-124.812912,10.0,197.35936,173.903793,96.0,90.0,8.592,3.0,1.5,4.81684e+24
84,40.34914,-124.769493,10.0,167.164246,200.432556,96.0,90.0,11.0704,4.5,4.5,4.07988e+24
85,40.345661,-124.726074,10.0,144.8479,209.489288,96.0,90.0,12.9488,3.0,3.0,3.53522e+24
86,40.342186,-124.682655,10.0,98.554657,209.786453,96.0,90.0,15.0272,1.5,1.5,2.40537e+24
87,40.338711,-124.639236,10.0,39.448383,203.899551,96.0,90.0,17.5056,1.5,1.5,9.62794e+23
88,40.335232,-124.595818,10.0,4.363443,185.992004,96.0,90.0,20.184,1.5,3.0,1.06496e+23
89,40.331757,-124.552406,10.0,0.849079,187.195862,96.0,90.0,22.2624,4.5,1.5,2.0723e+22
